"","guid","accn_number","spec_locality","scientific_name","genus","species","other","dec_lat","dec_long","coll_method","genus_species"
"1","MLZ:Bird:68814","1","Glendale","Accipiter cooperii","Accipiter","cooperii",NA,34.1425,-118.25417,"salvage","Accipiter cooperii"
"2","MVZ:Bird:179414","13469","7 Evans Place, Orinda","Catharus guttatus guttatus","Catharus","guttatus","guttatus",37.86556667,-122.1520167,"salvage","Catharus guttatus"
"3","MVZ:Bird:179419","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"4","MVZ:Bird:179420","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"5","MVZ:Bird:179421","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"6","MVZ:Bird:179422","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"7","MVZ:Bird:179423","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"8","MVZ:Bird:179424","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"9","MVZ:Bird:179425","13472","Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus"
"10","MVZ:Bird:179426","13472","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.42188,"active","Pipilo maculatus"
"11","MVZ:Bird:179427","13472","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.42188,"active","Pipilo maculatus"
"12","MVZ:Bird:179428","13472","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.42188,"active","Pipilo maculatus"
"13","MVZ:Bird:179429","13472","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.42188,"active","Pipilo maculatus"
"14","MVZ:Bird:179430","13472","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.43072,"active","Pipilo maculatus"
"15","MVZ:Bird:179431","13472","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.43072,"active","Pipilo maculatus"
"16","MVZ:Bird:179432","13472","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.43072,"active","Pipilo maculatus"
"17","MVZ:Bird:179433","13472","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.26096,-120.43072,"active","Pipilo maculatus"
"18","MVZ:Bird:179452","13473","4.5 mi W Shinn Peaks","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",40.69176,-120.29839,"active","Pipilo maculatus"
"19","MVZ:Bird:179453","13473","4.5 mi W Shinn Peaks","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",40.69176,-120.29839,"active","Pipilo maculatus"
"20","MVZ:Bird:179454","13473","4.5 mi W Shinn Peaks","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",40.69176,-120.29839,"active","Pipilo maculatus"
"21","MVZ:Bird:179455","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Sitta carolinensis aculeata","Sitta","carolinensis","aculeata",39.27833333,-121.2983333,"active","Sitta carolinensis"
"22","MVZ:Bird:179456","13475","University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville","Phainopepla nitens lepida","Phainopepla","nitens","lepida",39.2584115,-121.3068958,"active","Phainopepla nitens"
"23","MVZ:Bird:179457","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Leiothlypis celata lutescens","Leiothlypis","celata","lutescens",39.27833333,-121.2983333,"active","Leiothlypis celata"
"24","MVZ:Bird:179458","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Leiothlypis celata lutescens","Leiothlypis","celata","lutescens",39.27833333,-121.2983333,"active","Leiothlypis celata"
"25","MVZ:Bird:179459","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"26","MVZ:Bird:179460","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"27","MVZ:Bird:179461","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"28","MVZ:Bird:179462","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"29","MVZ:Bird:179463","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"30","MVZ:Bird:179464","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
