"","scientific_name","dec_lat","dec_long","coll_method"
"1","Catharus guttatus guttatus",37.86556667,-122.1520167,"salvage"
"2","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"3","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"4","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"5","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"6","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"7","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"8","Pipilo maculatus ssp.",35.265,-120.405,"salvage"
"9","Pipilo maculatus ssp.",35.26096,-120.42188,"active"
"10","Pipilo maculatus ssp.",35.26096,-120.42188,"active"
"11","Pipilo maculatus ssp.",35.26096,-120.42188,"active"
"12","Pipilo maculatus ssp.",35.26096,-120.42188,"active"
"13","Pipilo maculatus ssp.",35.26096,-120.43072,"salvage"
"14","Pipilo maculatus ssp.",35.26096,-120.43072,"salvage"
"15","Pipilo maculatus ssp.",35.26096,-120.43072,"salvage"
"16","Pipilo maculatus ssp.",35.26096,-120.43072,"salvage"
"17","Pipilo maculatus ssp.",40.69176,-120.29839,"active"
"18","Pipilo maculatus ssp.",40.69176,-120.29839,"active"
"19","Pipilo maculatus ssp.",40.69176,-120.29839,"active"
"20","Sitta carolinensis aculeata",39.27833333,-121.2983333,"active"
"21","Phainopepla nitens lepida",39.2584115,-121.3068958,"salvage"
"22","Leiothlypis celata lutescens",39.27833333,-121.2983333,"active"
"23","Leiothlypis celata lutescens",39.27833333,-121.2983333,"active"
"24","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"25","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"26","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"27","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"28","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"29","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"30","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"31","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"32","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"33","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"34","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"35","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"36","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"37","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"38","Pipilo maculatus ssp.",39.27833333,-121.2983333,"active"
"39","Aimophila ruficeps ruficeps",39.2584115,-121.3068958,"salvage"
"40","Chondestes grammacus strigatus",39.27833333,-121.2983333,"active"
"41","Vireo gilvus swainsoni",36.371327,-121.5645284,"salvage"
"42","Leiothlypis celata lutescens",36.371327,-121.5645284,"salvage"
"43","Pheucticus melanocephalus maculatus",36.375,-121.5566667,"salvage"
"44","Pheucticus melanocephalus maculatus",36.375,-121.5566667,"salvage"
"45","Pheucticus melanocephalus maculatus",36.375,-121.5566667,"salvage"
"46","Sturnus vulgaris vulgaris",37.8647874,-122.2463445,"salvage"
"47","Euphagus cyanocephalus",37.6822,-121.76624,"salvage"
"48","Setophaga townsendi",37.83183,-122.20748,"salvage"
"49","Psaltriparus minimus minimus",37.86841,-122.24209,"salvage"
"50","Spinus tristis salicamans",37.86848,-122.21534,"salvage"
"51","Cyanocitta stelleri frontalis",39.94295,-121.052041,"salvage"
"52","Cyanocitta stelleri frontalis",39.94295,-121.052041,"salvage"
"53","Cyanocitta stelleri frontalis",39.925,-121.0433333,"salvage"
"54","Cyanocitta stelleri frontalis",39.925,-121.0433333,"salvage"
"62","Tyto alba pratincola",38.1184425,-122.3053782,"salvage"
"63","Aphelocoma californica californica",37.9662946,-122.2059186,"salvage"
"64","Columba livia ssp.",37.8599227,-122.1346272,"salvage"
"65","Melozone crissalis petulans",37.86539,-122.25629,"salvage"
"66","Catharus guttatus guttatus",37.86556667,-122.1520167,"salvage"
"67","Catharus guttatus guttatus",37.86556667,-122.1520167,"salvage"
"68","Passerella iliaca ssp.",37.86556667,-122.1520167,"salvage"
"69","Zonotrichia atricapilla",37.86556667,-122.1520167,"salvage"
"70","Dryobates nuttallii",37.86556667,-122.1520167,"salvage"
"71","Melozone crissalis petulans",37.86143,-122.15246,"salvage"
"72","Pipilo maculatus ssp.",34.69,-118.53,"active"
"73","Pipilo maculatus ssp.",34.69,-118.53,"active"
"74","Pipilo maculatus ssp.",34.69,-118.53,"active"
"75","Pipilo maculatus ssp.",34.69,-118.53,"active"
"76","Pipilo maculatus ssp.",34.69,-118.53,"active"
"77","Pipilo maculatus ssp.",34.69,-118.53,"active"
