"","guid","accn_number","verbatim_date","parts","...1","spec_locality","scientific_name","genus","species","other","dec_lat","dec_long","coll_method","genus_species","date"
"1","MLZ:Bird:68814","1","26-Sep-04","skin",1,"Glendale","Accipiter cooperii","Accipiter","cooperii",NA,34.1425,-118.25417,"salvage","Accipiter cooperii",2004-09-26
"2","MLZ:Bird:68875","1","4-Mar-15","skin; tissue",2531,"1425 San Pablo Street","Accipiter cooperii","Accipiter","cooperii",NA,34.062,-118.2036,"salvage","Accipiter cooperii",2015-03-04
"3","MLZ:Bird:68876","1","27-Jan-01","skin; tissue",2532,"La Cañada - Flintridge","Buteo lineatus elegans","Buteo","lineatus","elegans",34.206116,-118.217574,"salvage","Buteo lineatus",2001-01-27
"4","MLZ:Bird:68877","1","30-Jan-08","skin; tissue",2533,"Occidental College, Eagle Rock, 1600 Campus Road","Buteo lineatus elegans","Buteo","lineatus","elegans",34.126573,-118.209991,"salvage","Buteo lineatus",2008-01-30
"5","MLZ:Bird:68968","1","3-Feb-15","skin; tissue",2536,"San Marino, Huntington Gardens","Tyto alba pratincola","Tyto","alba","pratincola",34.129355,-118.115041,"salvage","Tyto alba",2015-02-03
"6","MLZ:Bird:68975","1","15-Jun-12","skin; tissue",2537,"Occidental College, Eagle Rock, 1600 Campus Road","Selasphorus sasin sasin","Selasphorus","sasin","sasin",34.126573,-118.209991,"salvage","Selasphorus sasin",2012-06-15
"7","MLZ:Bird:68991","1","20-Jul-15","skin; tissue",2559,"Sierra Nevada Mountains, 1.1 km ENE Lava Springs","Contopus sordidulus veliei","Contopus","sordidulus","veliei",38.40855,-119.38209,"active","Contopus sordidulus",2015-07-20
"9","MLZ:Bird:69011","1","11-Mar-14","wing; tissue",2579,"Griffith Park","Psaltriparus minimus minimus","Psaltriparus","minimus","minimus",34.135841,-118.300632,"salvage","Psaltriparus minimus",2014-03-11
"10","MLZ:Bird:69028","1","22-Oct-12","skin; tissue",2624,"Occidental College, Eagle Rock, 1600 Campus Road","Regulus calendula grinnelli","Regulus","calendula","grinnelli",34.126573,-118.209991,"salvage","Regulus calendula",2012-10-22
"12","MLZ:Bird:69032","1","28-Nov-11","skin; tissue",2626,"Occidental College, Eagle Rock, 1600 Campus Road","Catharus guttatus nanus","Catharus","guttatus","nanus",34.126573,-118.209991,"salvage","Catharus guttatus",2011-11-28
"13","MLZ:Bird:69036","1","2-Feb-14","skin; tissue",2627,"Occidental College, Eagle Rock, 1600 Campus Road","Turdus migratorius propinquus","Turdus","migratorius","propinquus",34.126573,-118.209991,"salvage","Turdus migratorius",2014-02-02
"14","MLZ:Bird:69060","1","6-Mar-13","skin; tissue",2664,"Occidental College, Eagle Rock, 1600 Campus Road","Oreothlypis celata lutescens","Oreothlypis","celata","lutescens",34.126573,-118.209991,"salvage","Oreothlypis celata",2013-03-06
"16","MLZ:Bird:69068","1","6-Dec-11","skin; tissue",2666,"Occidental College, Eagle Rock, 1600 Campus Road","Setophaga coronata auduboni","Setophaga","coronata","auduboni",34.126573,-118.209991,"salvage","Setophaga coronata",2011-12-06
"17","MLZ:Bird:69069","1","5-Apr-09","skin; tissue",2667,"Culver City, Tilden Avenue","Setophaga coronata auduboni","Setophaga","coronata","auduboni",34.0113112,-118.412468,"salvage","Setophaga coronata",2009-04-05
"18","MLZ:Bird:69073","1","23-Aug-12","skin; tissue",2668,"Occidental College, Eagle Rock, 1600 Campus Road","Cardellina pusilla chryseola","Cardellina","pusilla","chryseola",34.126573,-118.209991,"salvage","Cardellina pusilla",2012-08-23
"19","MLZ:Bird:69093","1","5-Mar-15","wing; tissue",2669,"Sunland, 10066 Orcas Avenue","Zonotrichia leucophrys","Zonotrichia","leucophrys",NA,34.254016,-118.368129,"salvage","Zonotrichia leucophrys",2015-03-05
"20","MLZ:Bird:69112","1","24-Sep-13","skin; tissue",2670,"Occidental College, Eagle Rock, 1600 Campus Road","Melozone crissalis senicula","Melozone","crissalis","senicula",34.126573,-118.209991,"salvage","Melozone crissalis",2013-09-24
"21","MLZ:Bird:69146","1","7-May-14","skin; tissue",2671,"Occidental College, Eagle Rock, 1600 Campus Road","Pheucticus melanocephalus maculatus","Pheucticus","melanocephalus","maculatus",34.126573,-118.209991,"salvage","Pheucticus melanocephalus",2014-05-07
"30","MVZ:Bird:179414","13469","8-Mar-00","skin, study; tissue",2,"7 Evans Place, Orinda","Catharus guttatus guttatus","Catharus","guttatus","guttatus",37.86556667,-122.1520167,"salvage","Catharus guttatus",2000-03-08
"31","MVZ:Bird:179419","13472","11-May-00","skin, study; tissue",3,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"32","MVZ:Bird:179420","13472","11-May-00","skin, study; tissue",4,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"33","MVZ:Bird:179421","13472","11-May-00","skin, study; tissue",5,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"34","MVZ:Bird:179422","13472","11-May-00","skin, study; tissue",6,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"35","MVZ:Bird:179423","13472","11-May-00","skin, study; tissue",7,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"36","MVZ:Bird:179424","13472","11-May-00","skin, study; tissue",8,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-11
"37","MVZ:Bird:179425","13472","12-May-00","skin, study; tissue",9,"Garcia Mountain, 2 mi S and 2 mi W Pozo","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",35.265,-120.405,"active","Pipilo maculatus",2000-05-12
