collecting_method,guid,othercatalognumbers,accn_number,scientific_name,collectors,preparators,country,state_prov,county,spec_locality,verbatim_date,parts,dec_lat,dec_long,coordinateuncertaintyinmeters,age,sex
,DGR:Bird:1796,"institutional catalog number=MSB B -, NK=116044, preparator number=26167",0000.000.BIRD,Buteo lineatus,Robert W. Dickerman,Robert W. Dickerman,United States,California,San Diego County,"Jacumbo, 3mi W",28-Oct-02,unknown,,,,,female
,DGR:Bird:2114,"institutional catalog number=- B -, NK=100208, preparator number=1125",0000.000.BIRD,Protonotaria citrea,LSU MNS,Andrew B. Johnson,United States,California,Los Angeles County,1/2 mile NE Mandeville,12-May-04,unknown,,,,,female
,MVZ:Bird:179414,collector number=1907,13469,Catharus guttatus guttatus,Carla Cicero; Ned K. Johnson,,United States,California,Contra Costa County,"7 Evans Place, Orinda",8-Mar-00,"skin, study; tissue",37.86556667,-122.1520167,34,adult skull,female
,MVZ:Bird:179419,collector number=7012,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,38.40; male; testis 12 x 9 mm; large cloacal protuberance; adult skull; no fat; irides orange-red
,MVZ:Bird:179420,collector number=7013,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,36.20; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides orange
,MVZ:Bird:179421,collector number=7014,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,38.70; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red-orange
,MVZ:Bird:179422,collector number=7015,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,38.70; male; testis 14 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red
,MVZ:Bird:179423,collector number=7016,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,39.50; male; testis 9 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides orange
,MVZ:Bird:179424,collector number=7017,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",11-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,39.70; male; testis 12 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright orange
,MVZ:Bird:179425,collector number=7018,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"Garcia Mountain, 2 mi S and 2 mi W Pozo",12-May-00,"skin, study; tissue",35.265,-120.405,389,adult skull,35.50; male; testis 8 x 6 mm; small cloacal protuberance; adult skull; no fat; irides pale orange
,MVZ:Bird:179426,collector number=7004,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",9-May-00,"skin, study; tissue",35.26096,-120.42188,837,adult skull,37.40; male; testis 12 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dark red
,MVZ:Bird:179427,collector number=7005,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",9-May-00,"skin, study; tissue",35.26096,-120.42188,837,adult skull,39.40; male; testis 11 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red
,MVZ:Bird:179428,collector number=7006,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",9-May-00,"skin, study; tissue",35.26096,-120.42188,837,adult skull,39.10; male; testis 10 x 6 mm; medium cloacal protuberance; adult skull; no fat; irides pale red
,MVZ:Bird:179429,collector number=7007,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",9-May-00,"skin, study; tissue",35.26096,-120.42188,837,adult skull,41.00; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red
,MVZ:Bird:179430,collector number=7008,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",10-May-00,"skin, study; tissue",35.26096,-120.43072,1642,adult skull,37.10; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dark red
,MVZ:Bird:179431,collector number=7009,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",10-May-00,"skin, study; tissue",35.26096,-120.43072,1642,adult skull,39.70; male; testis 13 x 8 mm; large cloacal protuberance; adult skull; no fat; irides dull red
,MVZ:Bird:179432,collector number=7010,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",10-May-00,"skin, study; tissue",35.26096,-120.43072,1642,adult skull,37.50; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; no fat; irides red
,MVZ:Bird:179433,collector number=7011,13472,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,San Luis Obispo County,"1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",10-May-00,"skin, study; tissue",35.26096,-120.43072,1642,adult skull,45.10; male; testis 17 x 8 mm; large cloacal protuberance; adult skull; no fat; irides bright red
,MVZ:Bird:179452,collector number=7037,13473,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Lassen County,4.5 mi W Shinn Peaks,27-May-00,"skin, study; tissue",40.69176,-120.29839,6511,adult skull,38.90; male; testis 13 x 8 mm; medium cloacal protuberance; adult skull; no fat; irides red
,MVZ:Bird:179453,collector number=7038,13473,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Lassen County,4.5 mi W Shinn Peaks,27-May-00,"skin, study; tissue",40.69176,-120.29839,6511,adult skull,40.50; male; testis 11 x 9 mm; medium cloacal protuberance; adult skull; no fat; irides bright orange
