"","guid","accn_number","verbatim_date","spec_locality","count"
"1","MLZ:Bird:68814","1","26-Sep-04","Glendale",1
"2","MVZ:Bird:179419","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"3","MVZ:Bird:179420","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"4","MVZ:Bird:179421","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"5","MVZ:Bird:179422","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"6","MVZ:Bird:179423","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"7","MVZ:Bird:179424","13472","11-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"8","MVZ:Bird:179425","13472","12-May-00","Garcia Mountain, 2 mi S and 2 mi W Pozo",1
"9","MVZ:Bird:179426","13472","9-May-00","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",1
"10","MVZ:Bird:179427","13472","9-May-00","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",1
"11","MVZ:Bird:179428","13472","9-May-00","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",1
"12","MVZ:Bird:179429","13472","9-May-00","0.5 mi W Hi Mountain Campground, 3 mi S and 2.5 mi W Pozo",1
"13","MVZ:Bird:179430","13472","10-May-00","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",1
"14","MVZ:Bird:179431","13472","10-May-00","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",1
"15","MVZ:Bird:179432","13472","10-May-00","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",1
"16","MVZ:Bird:179433","13472","10-May-00","1 mi W Hi Mountain Campground, 3 mi S and 3 mi W Pozo",1
"17","MVZ:Bird:179452","13473","27-May-00","4.5 mi W Shinn Peaks",1
"18","MVZ:Bird:179453","13473","27-May-00","4.5 mi W Shinn Peaks",1
"19","MVZ:Bird:179454","13473","27-May-00","4.5 mi W Shinn Peaks",1
"20","MVZ:Bird:179455","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"21","MVZ:Bird:179456","13475","9-Apr-00","University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville",1
"22","MVZ:Bird:179457","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"23","MVZ:Bird:179458","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"24","MVZ:Bird:179459","13475","6-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"25","MVZ:Bird:179460","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"26","MVZ:Bird:179461","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"27","MVZ:Bird:179462","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"28","MVZ:Bird:179463","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"29","MVZ:Bird:179464","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"30","MVZ:Bird:179465","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"31","MVZ:Bird:179466","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
