,Jan,,,,Feb,,,,Mar,,,,Apr,,,,May,,,,Jun,,,,Jul,,,,Aug,,,,Sep,,,,Oct,,,,Nov,,,,Dec,,,
Sample Size:,158823,119940,121789,162255,105513,114809,151225,102316,97347,95311,99557,142636,106117,105145,114231,146617,111167,115862,97063,141051,93195,87228,84127,100332,79785,76189,74502,103185,75023,75504,74973,110814,91157,89542,96422,127306,97486,101234,93189,121355,89018,91069,85179,118097,81428,82675,103903,155254
"Emu (<em class=""sci"">Dromaius novaehollandiae</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04E-5,0,0,0,0,0,1.12E-5,0,0,0,0,0,0,0
"Black-bellied Whistling-Duck (<em class=""sci"">Dendrocygna autumnalis</em>)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8E-6,0,0,3.09E-5,6.38E-5,0.0015,0,0.0015,0,1.379E-4,0.0015,0,9.7E-6,6.66E-5,1.32E-5,0,0,0,1.12E-5,1.04E-5,1.57E-5,2.05E-5,1.98E-5,2.15E-5,6.59E-5,4.49E-5,0,0,0,0,0,0,0
"Fulvous Whistling-Duck (<em class=""sci"">Dendrocygna bicolor</em>)",6.3E-6,0.0015,0,0.0015,0.0015,0.0015,0.0015,0,0.0015,1.05E-5,1.0E-5,4.21E-5,1.88E-5,4.66E-4,1.576E-4,1.091E-4,7.2E-5,7.77E-5,4.12E-5,7.8E-5,7.51E-5,3.44E-5,5.94E-5,3.99E-5,8.77E-5,6.956E-4,5.235E-4,1.163E-4,5.33E-5,6.62E-5,4.0E-5,2.71E-5,2.19E-5,4.47E-5,3.11E-5,1.57E-5,0.0015,0.0015,2.15E-5,2.47E-5,6.74E-5,0.0015,0.0015,8.5E-6,1.23E-5,1.21E-5,1.92E-5,3.86E-5
"Bar-headed Goose (<em class=""sci"">Anser indicus</em>)",1.26E-5,1.67E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,1.07E-5,0,0,0,0,0,0,0,0,1.32E-5,0,0,0.0015,0,0,0,0,1.98E-5,0,8.2E-6,0,0,0,0,0,2.42E-5,0,0
"Emperor Goose (<em class=""sci"">Anser canagicus</em>)",6.93E-5,8.34E-5,2.46E-5,0.0010046,2.085E-4,1.916E-4,1.256E-4,1.075E-4,5.444E-4,6.505E-4,4.42E-4,1.052E-4,1.88E-5,9.5E-6,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9E-6,3.077E-4,9.88E-5,1.07E-5,0.0015,2.25E-5,1.1E-5,0,2.625E-4,2.825E-4,3.266E-4,2.214E-4,1.224E-4
"Snow Goose (<em class=""sci"">Anser caerulescens</em>)",0.0366005,0.0380774,0.0394617,0.038193,0.0321856,0.027071,0.0225624,0.0241507,0.0215004,0.0192108,0.0160612,0.0120797,0.0084718,0.0072566,0.0061017,0.0050403,0.0029055,0.0024771,0.0026169,0.0020631,0.0016524,0.0016279,0.0012006,0.0016047,0.0014539,0.0012863,0.0017047,0.0015022,0.0016128,0.0014966,0.0015872,0.0017687,0.0019966,0.0019321,0.002012,0.0021052,0.0035287,0.0056602,0.0095934,0.0151621,0.0206026,0.0304604,0.0341281,0.0361059,0.0385985,0.0351376,0.0305477,0.0342535
"Ross's Goose (<em class=""sci"">Anser rossii</em>)",0.0151238,0.0151076,0.0161837,0.0152784,0.0129652,0.0104783,0.0082857,0.0090895,0.0074579,0.0066099,0.0048314,0.0037298,0.0021957,0.0023301,0.0021185,0.0019848,0.0011244,0.0011738,0.0011642,0.0010776,9.55E-4,9.401E-4,6.3E-4,5.183E-4,6.392E-4,5.513E-4,6.309E-4,5.427E-4,5.332E-4,5.828E-4,6.269E-4,8.212E-4,8.557E-4,0.0010833,9.023E-4,9.819E-4,0.0013335,0.0015113,0.002114,0.0047711,0.0078636,0.0109477,0.0152737,0.0155635,0.016837,0.0148533,0.0116744,0.0146148
"Snow x Ross's Goose (hybrid) (<em class=""sci"">Anser caerulescens x rossii</em>)",2.015E-4,1.167E-4,1.15E-4,1.418E-4,1.801E-4,1.219E-4,7.27E-5,6.84E-5,9.25E-5,9.44E-5,1.607E-4,1.612E-4,2.83E-5,4.76E-5,3.5E-5,5.46E-5,3.6E-5,8.6E-6,1.03E-5,3.54E-5,1.07E-5,4.59E-5,2.38E-5,1.0E-5,3.76E-5,0,0,1.94E-5,4.0E-5,1.32E-5,1.33E-5,2.71E-5,3.29E-5,3.35E-5,0,3.14E-5,6.15E-5,2.173E-4,1.502E-4,1.236E-4,1.573E-4,1.098E-4,1.291E-4,1.185E-4,1.597E-4,1.331E-4,6.74E-5,5.15E-5
"Snow/Ross's Goose (<em class=""sci"">Anser caerulescens/rossii</em>)",0.0026633,0.00326,0.0033665,0.003211,0.002938,0.0025869,0.0022483,0.0025314,0.0020751,0.0018046,0.0011451,9.395E-4,4.9E-4,4.185E-4,3.327E-4,3.001E-4,1.619E-4,6.9E-5,1.03E-4,8.51E-5,2.15E-5,4.59E-5,3.57E-5,4.98E-5,3.76E-5,2.63E-5,5.37E-5,2.91E-5,8.0E-5,5.3E-5,5.34E-5,4.51E-5,2.19E-5,4.47E-5,1.037E-4,1.1E-4,2.359E-4,4.445E-4,5.687E-4,9.971E-4,0.0016851,0.0023059,0.0031111,0.003404,0.0035369,0.0031811,0.002204,0.0029178
