"","order","coll_method","count","count_proportional"
"1","Accipitriformes","salvage",9,0.692307692307692
"2","Anseriformes","active",19,0.575757575757576
"3","Anseriformes","salvage",13,0.393939393939394
"4","Apodiformes","active",7,1.4
"5","Apodiformes","salvage",7,1.4
"6","Caprimulgiformes","active",2,0.666666666666667
"7","Caprimulgiformes","salvage",1,0.333333333333333
"8","Cathartiformes","salvage",1,1
"9","Charadriiformes","active",8,0.142857142857143
"10","Charadriiformes","salvage",26,0.464285714285714
"11","Columbiformes","active",1,0.166666666666667
"12","Columbiformes","salvage",3,0.5
"13","Coraciiformes","active",1,1
"14","Coraciiformes","salvage",1,1
"15","Cuculiformes","salvage",1,1
"16","Falconiformes","salvage",5,1.25
"17","Galliformes","active",5,0.714285714285714
"18","Galliformes","salvage",6,0.857142857142857
"19","Gaviiformes","salvage",4,1
"20","Gruiformes","active",1,0.142857142857143
"21","Gruiformes","salvage",5,0.714285714285714
"22","Passeriformes","active",100,0.72992700729927
"23","Passeriformes","salvage",93,0.678832116788321
"24","Pelecaniformes","active",1,0.0714285714285714
"25","Pelecaniformes","salvage",8,0.571428571428571
"26","Piciformes","active",10,0.769230769230769
"27","Piciformes","salvage",8,0.615384615384615
"28","Podicipediformes","active",1,0.166666666666667
"29","Podicipediformes","salvage",5,0.833333333333333
"30","Procellariiformes","salvage",5,0.714285714285714
"31","Psittaciformes","salvage",1,0.25
"32","Strigiformes","active",1,0.0909090909090909
"33","Strigiformes","salvage",9,0.818181818181818
"34","Suliformes","active",1,0.25
"35","Suliformes","salvage",4,1
