"","order","coll_method","count"
"1","Accipitriformes","salvage",8
"2","Anseriformes","active",19
"3","Anseriformes","salvage",9
"4","Apodiformes","active",7
"5","Apodiformes","salvage",6
"6","Caprimulgiformes","active",2
"7","Caprimulgiformes","salvage",1
"8","Cathartiformes","salvage",1
"9","Charadriiformes","active",8
"10","Charadriiformes","salvage",21
"11","Columbiformes","active",1
"12","Columbiformes","salvage",3
"13","Coraciiformes","active",1
"14","Coraciiformes","salvage",1
"15","Cuculiformes","salvage",1
"16","Falconiformes","salvage",5
"17","Galliformes","active",5
"18","Galliformes","salvage",6
"19","Gaviiformes","salvage",3
"20","Gruiformes","active",1
"21","Gruiformes","salvage",4
"22","Passeriformes","active",97
"23","Passeriformes","salvage",86
"24","Pelecaniformes","active",1
"25","Pelecaniformes","salvage",7
"26","Piciformes","active",10
"27","Piciformes","salvage",7
"28","Podicipediformes","active",1
"29","Podicipediformes","salvage",5
"30","Procellariiformes","salvage",2
"31","Strigiformes","active",1
"32","Strigiformes","salvage",9
