"","order","coll_method","count","count_proportional"
"1","Accipitriformes","salvage",8,0.727272727272727
"2","Anseriformes","active",19,0.542857142857143
"3","Anseriformes","salvage",9,0.257142857142857
"4","Apodiformes","active",7,0.875
"5","Apodiformes","salvage",6,0.75
"6","Caprimulgiformes","active",2,0.666666666666667
"7","Caprimulgiformes","salvage",1,0.333333333333333
"8","Cathartiformes","salvage",1,1
"9","Charadriiformes","active",8,0.153846153846154
"10","Charadriiformes","salvage",21,0.403846153846154
"11","Columbiformes","active",1,0.166666666666667
"12","Columbiformes","salvage",3,0.5
"13","Coraciiformes","active",1,1
"14","Coraciiformes","salvage",1,1
"15","Cuculiformes","salvage",1,1
"16","Falconiformes","salvage",5,1.25
"17","Galliformes","active",5,0.833333333333333
"18","Galliformes","salvage",6,1
"19","Gaviiformes","salvage",3,1
"20","Gruiformes","active",1,0.166666666666667
"21","Gruiformes","salvage",4,0.666666666666667
"22","Passeriformes","active",97,0.734848484848485
"23","Passeriformes","salvage",86,0.651515151515151
"24","Pelecaniformes","active",1,0.0714285714285714
"25","Pelecaniformes","salvage",7,0.5
"26","Piciformes","active",10,0.909090909090909
"27","Piciformes","salvage",7,0.636363636363636
"28","Podicipediformes","active",1,0.166666666666667
"29","Podicipediformes","salvage",5,0.833333333333333
"30","Procellariiformes","salvage",2,0.5
"31","Strigiformes","active",1,0.2
"32","Strigiformes","salvage",9,1.8
