"","order","coll_method","count","count_proportional"
"1","Accipitriformes","salvage",194,14.9230769230769
"2","Anseriformes","active",89,2.54285714285714
"3","Anseriformes","salvage",35,1
"4","Apodiformes","active",130,14.4444444444444
"5","Apodiformes","salvage",220,24.4444444444444
"6","Caprimulgiformes","active",4,1.33333333333333
"7","Caprimulgiformes","salvage",12,4
"8","Cathartiformes","salvage",8,8
"9","Charadriiformes","active",54,0.947368421052632
"10","Charadriiformes","salvage",111,1.94736842105263
"11","Columbiformes","active",4,0.666666666666667
"12","Columbiformes","salvage",99,16.5
"13","Coraciiformes","active",1,1
"14","Coraciiformes","salvage",7,7
"15","Cuculiformes","salvage",1,1
"16","Falconiformes","salvage",105,21
"17","Galliformes","active",19,2.71428571428571
"18","Galliformes","salvage",84,12
"19","Gaviiformes","salvage",9,2.25
"20","Gruiformes","active",7,1
"21","Gruiformes","salvage",25,3.57142857142857
"22","Passeriformes","active",1992,13.9300699300699
"23","Passeriformes","salvage",1074,7.51048951048951
"24","Pelecaniformes","active",1,0.0714285714285714
"25","Pelecaniformes","salvage",58,4.14285714285714
"26","Piciformes","active",106,8.15384615384615
"27","Piciformes","salvage",85,6.53846153846154
"28","Podicipediformes","active",1,0.166666666666667
"29","Podicipediformes","salvage",68,11.3333333333333
"30","Procellariiformes","salvage",16,2.28571428571429
"31","Psittaciformes","salvage",2,0.5
"32","Strigiformes","active",131,11.9090909090909
"33","Strigiformes","salvage",184,16.7272727272727
"34","Suliformes","active",19,4.75
"35","Suliformes","salvage",23,5.75
