"","order","coll_method","count","count_proportional"
"1","Accipitriformes","salvage",137,12.4545454545455
"2","Anseriformes","active",94,2.68571428571429
"3","Anseriformes","salvage",16,0.457142857142857
"4","Apodiformes","active",81,10.125
"5","Apodiformes","salvage",136,17
"6","Caprimulgiformes","active",4,1.33333333333333
"7","Caprimulgiformes","salvage",7,2.33333333333333
"8","Cathartiformes","salvage",4,4
"9","Charadriiformes","active",54,1.03846153846154
"10","Charadriiformes","salvage",66,1.26923076923077
"11","Columbiformes","active",4,0.666666666666667
"12","Columbiformes","salvage",54,9
"13","Coraciiformes","active",1,1
"14","Coraciiformes","salvage",7,7
"15","Cuculiformes","salvage",1,1
"16","Falconiformes","salvage",46,11.5
"17","Galliformes","active",19,3.16666666666667
"18","Galliformes","salvage",48,8
"19","Gaviiformes","salvage",4,1.33333333333333
"20","Gruiformes","active",7,1.16666666666667
"21","Gruiformes","salvage",18,3
"22","Passeriformes","active",1721,13.0378787878788
"23","Passeriformes","salvage",724,5.48484848484848
"24","Pelecaniformes","active",1,0.0714285714285714
"25","Pelecaniformes","salvage",47,3.35714285714286
"26","Piciformes","active",88,8
"27","Piciformes","salvage",38,3.45454545454545
"28","Podicipediformes","active",1,0.166666666666667
"29","Podicipediformes","salvage",14,2.33333333333333
"30","Procellariiformes","salvage",2,0.5
"31","Strigiformes","active",131,26.2
"32","Strigiformes","salvage",125,25
