"","order","species_count_salvage","species_count_active","species_count_prop_salvage","species_count_prop_active","log_species_prop_salvage","log_species_prop_active","specimens_count_salvage","specimens_count_active","specimens_count_prop_salvage","specimens_count_prop_active","log_specimens_prop_salvage","log_specimens_prop_active"
"1","Accipitriformes",9,0,0.692307692307692,0,0.526093095896779,0,194,0,14.9230769230769,0,2.76776943580383,0
"2","Anseriformes",13,19,0.393939393939394,0.575757575757576,0.332133835022615,0.454736157114947,35,89,1.06060606060606,2.6969696969697,0.723000143709626,1.30751348326678
"3","Apodiformes",7,7,1.4,1.4,0.8754687373539,0.8754687373539,220,130,44,26,3.80666248977032,3.29583686600433
"4","Caprimulgiformes",1,2,0.333333333333333,0.666666666666667,0.287682072451781,0.510825623765991,12,4,4,1.33333333333333,1.6094379124341,0.847297860387203
"5","Cathartiformes",1,0,1,0,0.693147180559945,0,8,0,8,0,2.19722457733622,0
"6","Charadriiformes",26,8,0.464285714285714,0.142857142857143,0.381367556529104,0.133531392624523,111,54,1.98214285714286,0.964285714285714,1.09264212168161,0.675128675057267
"7","Columbiformes",3,1,0.5,0.166666666666667,0.405465108108164,0.154150679827258,99,4,16.5,0.666666666666667,2.86220088092947,0.510825623765991
"8","Coraciiformes",1,1,1,1,0.693147180559945,0.693147180559945,7,1,7,1,2.07944154167984,0.693147180559945
"9","Cuculiformes",1,0,1,0,0.693147180559945,0,1,0,1,0,0.693147180559945,0
"10","Falconiformes",5,0,1.25,0,0.810930216216329,0,105,0,26.25,0,3.30505352110925,0
"11","Galliformes",6,5,0.857142857142857,0.714285714285714,0.619039208406224,0.538996500732687,84,19,12,2.71428571428571,2.56494935746154,1.31218638896617
"12","Gaviiformes",4,0,1,0,0.693147180559945,0,9,0,2.25,0,1.17865499634165,0
"13","Gruiformes",5,1,0.714285714285714,0.142857142857143,0.538996500732687,0.133531392624523,25,7,3.57142857142857,1,1.51982575374441,0.693147180559945
"14","Passeriformes",93,100,0.678832116788321,0.72992700729927,0.51809838309507,0.548079215307006,1074,1992,7.83941605839416,14.5401459854015,2.17922081772497,2.74342673906535
"15","Pelecaniformes",8,1,0.571428571428571,0.0714285714285714,0.451985123743057,0.0689928714869514,58,1,4.14285714285714,0.0714285714285714,1.6376087894008,0.0689928714869514
"16","Piciformes",8,10,0.615384615384615,0.769230769230769,0.479573080261886,0.570544858467613,85,106,6.53846153846154,8.15384615384615,2.02001812120904,2.21417413564999
"17","Podicipediformes",5,1,0.833333333333333,0.166666666666667,0.606135803570316,0.154150679827258,68,1,11.3333333333333,0.166666666666667,2.51230562397611,0.154150679827258
"18","Procellariiformes",5,0,0.714285714285714,0,0.538996500732687,0,16,0,2.28571428571429,0,1.18958406687384,0
"19","Psittaciformes",1,0,0.25,0,0.22314355131421,0,2,0,0.5,0,0.405465108108164,0
"20","Strigiformes",9,1,0.818181818181818,0.0909090909090909,0.597837000755621,0.0870113769896297,184,131,16.7272727272727,11.9090909090909,2.87510428576538,2.55793178480289
"21","Suliformes",4,1,1,0.25,0.693147180559945,0.22314355131421,23,19,5.75,4.75,1.90954250488444,1.74919985480926
