order,salvaged_species,actively-collected_species,salvaged_specimens,actively-collected_specimens
Passeriformes,86,97,724,1721
Strigiformes,9,1,125,131
Anseriformes,9,19,16,94
Piciformes,7,10,38,88
Apodiformes,6,7,136,81
Charadriiformes,21,8,66,54
Galliformes,6,5,48,19
Gruiformes,4,1,18,7
Caprimulgiformes,1,2,7,4
Columbiformes,3,1,54,4
Coraciiformes,1,1,7,1
Pelecaniformes,7,1,47,1
Podicipediformes,5,1,14,1
Accipitriformes,8,0,137,0
Cathartiformes,1,0,4,0
Cuculiformes,1,0,1,0
Falconiformes,5,0,46,0
Gaviiformes,3,0,4,0
Procellariiformes,2,0,2,0
