"","salvage_species_counts","active_species_counts","salvage_specimen_counts","active_specimen_counts"
"Anseriformes",12,16,28,80
"Galliformes",6,5,79,19
"Podicipediformes",5,1,68,1
"Columbiformes",3,1,96,4
"Cuculiformes",1,0,1,0
"Caprimulgiformes",1,2,10,4
"Apodiformes",7,7,186,81
"Gruiformes",5,1,24,7
"Charadriiformes",25,8,105,54
"Gaviiformes",4,0,9,0
"Procellariiformes",5,0,16,0
"Suliformes",4,1,23,19
"Pelecaniformes",8,1,55,1
"Cathartiformes",1,0,8,0
"Accipitriformes",9,0,186,0
"Strigiformes",9,1,178,131
"Coraciiformes",1,1,7,1
"Piciformes",8,10,79,106
"Falconiformes",5,0,59,0
"Passeriformes",93,100,1014,1906
