"","species"
"1","Aeronautes saxatalis"
"2","Alopochen aegyptiaca"
"3","Amazona viridigenalis"
"4","Ammodramus savannarum"
"5","Anarhynchus nivosus"
"6","Anser anser"
"7","Aquila chrysaetos"
"8","Ardea ibis"
"9","Ardenna creatopus"
"10","Arenaria interpres"
"11","Arenaria melanocephala"
"12","Astur cooperii"
"13","Aythya americana"
"14","Aythya collaris"
"15","Aythya valisineria"
"16","Botaurus exilis"
"17","Branta bernicla"
"18","Brotogeris chiriri"
"19","Bucephala albeola"
"20","Bucephala islandica"
"21","Cairina moschata"
"22","Calidris alba"
"23","Calidris bairdii"
"24","Calidris canutus"
"25","Calidris melanotos"
"26","Calidris minutilla"
"27","Calidris virgata"
"28","Callipepla gambelii"
"29","Campylorhynchus brunneicapillus"
"30","Catherpes mexicanus"
"31","Charadrius semipalmatus"
"32","Chordeiles acutipennis"
"33","Chroicocephalus philadelphia"
"34","Columbina passerina"
"35","Cygnus columbianus"
"36","Cygnus olor"
"37","Dryobates scalaris"
"38","Dryocopus pileatus"
"39","Egretta caerulea"
"40","Egretta rufescens"
"41","Gallinula galeata"
"42","Haliaeetus leucocephalus"
"43","Icterus cucullatus"
"44","Larus brachyrhynchus"
"45","Larus glaucoides"
"46","Larus smithsonianus"
"47","Limnodromus griseus"
"48","Limnodromus scolopaceus"
"49","Limosa fedoa"
"50","Lonchura punctulata"
"51","Lophodytes cucullatus"
"52","Mareca penelope"
"53","Melanitta deglandi"
"54","Melozone aberti"
"55","Mergus serrator"
"56","Numenius americanus"
"57","Numenius phaeopus"
"58","Nyctanassa violacea"
"59","Pandion haliaetus"
"60","Piranga rubra"
"61","Plegadis chihi"
"62","Podiceps grisegena"
"63","Poecile atricapillus"
"64","Polioptila californica"
"65","Polioptila melanura"
"66","Progne subis"
"67","Psittacara erythrogenys"
"68","Psittacara mitratus"
"69","Puffinus opisthomelas"
"70","Pycnonotus jocosus"
"71","Pyrocephalus rubinus"
"72","Quiscalus mexicanus"
"73","Rallus obsoletus"
"74","Riparia riparia"
"75","Rynchops niger"
"76","Setophaga palmarum"
"77","Spatula discors"
"78","Stercorarius parasiticus"
"79","Stercorarius pomarinus"
"80","Sternula antillarum"
"81","Streptopelia decaocto"
"82","Thalasseus elegans"
"83","Thalasseus maximus"
"84","Tringa flavipes"
"85","Tringa incana"
"86","Tringa melanoleuca"
"87","Tyrannus melancholicus"
"88","Tyrannus vociferans"
"89","Tyto furcata"
"90","Vireo bellii"
"91","Zenaida asiatica"
"92","Zonotrichia albicollis"
"93","Zosterops simplex"
