"","species","count"
"1","Calypte anna",135
"2","Tyto alba",86
"3","Haemorhous mexicanus",64
"4","Buteo jamaicensis",58
"5","Callipepla californica",57
"6","Corvus brachyrhynchos",55
"7","Aechmophorus occidentalis",53
"8","Cyanocitta stelleri",53
"9","Zenaida macroura",51
"10","Accipiter cooperii",49
"11","Aphelocoma californica",48
"12","Melozone crissalis",45
"13","Junco hyemalis",44
"14","Bubo virginianus",43
"15","Spinus pinus",43
"16","Falco sparverius",40
"17","Bombycilla cedrorum",38
"18","Patagioenas fasciata",35
"19","Catharus guttatus",35
"20","Turdus migratorius",32
"21","Zonotrichia atricapilla",32
"22","Megascops kennicottii",30
"23","Melanerpes formicivorus",30
"24","Calypte costae",24
"25","Uria aalge",24
"26","Elanus leucurus",24
"27","Buteo lineatus",24
"28","Spinus psaltria",24
"29","Colaptes auratus",23
"30","Zonotrichia leucophrys",22
"31","Pipilo maculatus",22
"32","Accipiter striatus",21
"33","Ixoreus naevius",21
"34","Spinus tristis",19
"35","Corthylio calendula",18
"36","Passer domesticus",18
"37","Larus californicus",17
"38","Psaltriparus minimus",17
"39","Nycticorax nycticorax",16
"40","Catharus ustulatus",16
"41","Setophaga coronata",16
"42","Selasphorus sasin",15
"43","Sayornis nigricans",15
"44","Thryomanes bewickii",15
"45","Melospiza melodia",15
"46","Pelecanus occidentalis",14
"47","Fulica americana",13
"48","Mimus polyglottos",13
"49","Passerella iliaca",13
"50","Euphagus cyanocephalus",13
"51","Pheucticus melanocephalus",13
"52","Meleagris gallopavo",12
"53","Larus occidentalis",12
"54","Urile penicillatus",12
"55","Dryobates nuttallii",12
"56","Butorides virescens",11
"57","Poecile rufescens",11
"58","Cardellina pusilla",11
"59","Piranga ludoviciana",11
"60","Columba livia",10
"61","Phalaenoptilus nuttallii",10
"62","Falco mexicanus",10
"63","Petrochelidon pyrrhonota",10
"64","Anas platyrhynchos",9
"65","Aechmophorus clarkii",9
"66","Agelaius phoeniceus",9
"67","Selasphorus rufus",8
"68","Ardenna grisea",8
"69","Nannopterum auritum",8
"70","Cathartes aura",8
